,Идентификационный номер,Выжившие,Класс пассажира,Имя,Пол,Возраст,Количество братьев/сестер,Количество родственников,Номер билета,Плата за проезд,Каюта,Порт посадки
793,794,0,1,"Hoyt, Mr. William Fisher",male,1992.3008823529412,0,0,PC 17600,30.6958,G6,C
794,795,0,3,"Dantcheff, Mr. Ristiu",male,1997.0,0,0,349203,7.8958,G6,S
795,796,0,2,"Otter, Mr. Richard",male,1983.0,0,0,28213,13.0,G6,S
796,797,1,1,"Leader, Dr. Alice (Farnham)",female,1973.0,0,0,17465,25.9292,D17,S
797,798,1,3,"Osman, Mrs. Mara",female,1991.0,0,0,349244,8.6833,G6,S
798,799,0,3,"Ibrahim Shawah, Mr. Yousseff",male,1992.0,0,0,2685,7.2292,G6,C
799,800,0,3,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",female,1992.0,1,1,345773,24.15,G6,S
800,801,0,2,"Ponesell, Mr. Martin",male,1988.0,0,0,250647,13.0,G6,S
801,802,1,2,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,1991.0,1,1,C.A. 31921,26.25,G6,S
802,803,1,1,"Carter, Master. William Thornton II",male,2011.0,1,2,113760,120.0,B96 B98,S
803,804,1,3,"Thomas, Master. Assad Alexander",male,2021.58,0,1,2625,8.5167,G6,C
804,805,1,3,"Hedman, Mr. Oskar Arvid",male,1995.0,0,0,347089,6.975,G6,S
805,806,0,3,"Johansson, Mr. Karl Johan",male,1991.0,0,0,347063,7.775,G6,S
806,807,0,1,"Andrews, Mr. Thomas Jr",male,1983.0,0,0,112050,0.0,A36,S
807,808,0,3,"Pettersson, Miss. Ellen Natalia",female,2004.0,0,0,347087,7.775,G6,S
808,809,0,2,"Meyer, Mr. August",male,1983.0,0,0,248723,13.0,G6,S
809,810,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,1989.0,1,0,113806,53.1,E8,S
810,811,0,3,"Alexander, Mr. William",male,1996.0,0,0,3474,7.8875,G6,S
811,812,0,3,"Lester, Mr. James",male,1983.0,0,0,A/4 48871,24.15,G6,S
812,813,0,2,"Slemen, Mr. Richard James",male,1987.0,0,0,28206,10.5,G6,S
813,814,0,3,"Andersson, Miss. Ebba Iris Alfrida",female,2016.0,4,2,347082,31.275,G6,S
814,815,0,3,"Tomlin, Mr. Ernest Portage",male,1991.5,0,0,364499,8.05,G6,S
815,816,0,1,"Fry, Mr. Richard",male,1992.3008823529412,0,0,112058,0.0,B102,S
816,817,0,3,"Heininen, Miss. Wendla Maria",female,1999.0,0,0,STON/O2. 3101290,7.925,G6,S
817,818,0,2,"Mallet, Mr. Albert",male,1991.0,1,1,S.C./PARIS 2079,37.0042,G6,C
818,819,0,3,"Holm, Mr. John Fredrik Alexander",male,1979.0,0,0,C 7075,6.45,G6,S
819,820,0,3,"Skoog, Master. Karl Thorsten",male,2012.0,3,2,347088,27.9,G6,S
820,821,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,1970.0,1,1,12749,93.5,B69,S
821,822,1,3,"Lulic, Mr. Nikola",male,1995.0,0,0,315098,8.6625,G6,S
822,823,0,1,"Reuchlin, Jonkheer. John George",male,1984.0,0,0,19972,0.0,G6,S
823,824,1,3,"Moor, Mrs. (Beila)",female,1995.0,0,1,392096,12.475,E121,S
824,825,0,3,"Panula, Master. Urho Abraham",male,2020.0,4,1,3101295,39.6875,G6,S
825,826,0,3,"Flynn, Mr. John",male,1992.3008823529412,0,0,368323,6.95,G6,Q
826,827,0,3,"Lam, Mr. Len",male,1992.3008823529412,0,0,1601,56.4958,G6,S
827,828,1,2,"Mallet, Master. Andre",male,2021.0,0,2,S.C./PARIS 2079,37.0042,G6,C
828,829,1,3,"McCormack, Mr. Thomas Joseph",male,1992.3008823529412,0,0,367228,7.75,G6,Q
829,830,1,1,"Stone, Mrs. George Nelson (Martha Evelyn)",female,1960.0,0,0,113572,80.0,B28,S
830,831,1,3,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,2007.0,1,0,2659,14.4542,G6,C
831,832,1,2,"Richards, Master. George Sibley",male,2021.17,1,1,29106,18.75,G6,S
832,833,0,3,"Saad, Mr. Amin",male,1992.3008823529412,0,0,2671,7.2292,G6,C
833,834,0,3,"Augustsson, Mr. Albert",male,1999.0,0,0,347468,7.8542,G6,S
834,835,0,3,"Allum, Mr. Owen George",male,2004.0,0,0,2223,8.3,G6,S
835,836,1,1,"Compton, Miss. Sara Rebecca",female,1983.0,1,1,PC 17756,83.1583,E49,C
836,837,0,3,"Pasic, Mr. Jakob",male,2001.0,0,0,315097,8.6625,G6,S
837,838,0,3,"Sirota, Mr. Maurice",male,1992.3008823529412,0,0,392092,8.05,G6,S
838,839,1,3,"Chip, Mr. Chang",male,1990.0,0,0,1601,56.4958,G6,S
839,840,1,1,"Marechal, Mr. Pierre",male,1992.3008823529412,0,0,11774,29.7,C47,C
840,841,0,3,"Alhomaki, Mr. Ilmari Rudolf",male,2002.0,0,0,SOTON/O2 3101287,7.925,G6,S
841,842,0,2,"Mudd, Mr. Thomas Charles",male,2006.0,0,0,S.O./P.P. 3,10.5,G6,S
842,843,1,1,"Serepeca, Miss. Augusta",female,1992.0,0,0,113798,31.0,G6,C
843,844,0,3,"Lemberopolous, Mr. Peter L",male,1987.5,0,0,2683,6.4375,G6,C
844,845,0,3,"Culumovic, Mr. Jeso",male,2005.0,0,0,315090,8.6625,G6,S
845,846,0,3,"Abbing, Mr. Anthony",male,1980.0,0,0,C.A. 5547,7.55,G6,S
846,847,0,3,"Sage, Mr. Douglas Bullen",male,1992.3008823529412,8,2,CA. 2343,69.55,G6,S
847,848,0,3,"Markoff, Mr. Marin",male,1987.0,0,0,349213,7.8958,G6,C
848,849,0,2,"Harper, Rev. John",male,1994.0,0,1,248727,33.0,G6,S
849,850,1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,1992.3008823529412,1,0,17453,89.1042,C92,C
850,851,0,3,"Andersson, Master. Sigvard Harald Elias",male,2018.0,4,2,347082,31.275,G6,S
851,852,0,3,"Svensson, Mr. Johan",male,1948.0,0,0,347060,7.775,G6,S
852,853,0,3,"Boulos, Miss. Nourelain",female,2013.0,1,1,2678,15.2458,G6,C
853,854,1,1,"Lines, Miss. Mary Conover",female,2006.0,0,1,PC 17592,39.4,D28,S
854,855,0,2,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,1978.0,1,0,244252,26.0,G6,S
855,856,1,3,"Aks, Mrs. Sam (Leah Rosen)",female,2004.0,0,1,392091,9.35,G6,S
856,857,1,1,"Wick, Mrs. George Dennick (Mary Hitchcock)",female,1977.0,1,1,36928,164.8667,G6,S
857,858,1,1,"Daly, Mr. Peter Denis ",male,1971.0,0,0,113055,26.55,E17,S
858,859,1,3,"Baclini, Mrs. Solomon (Latifa Qurban)",female,1998.0,0,3,2666,19.2583,G6,C
859,860,0,3,"Razi, Mr. Raihed",male,1992.3008823529412,0,0,2629,7.2292,G6,C
860,861,0,3,"Hansen, Mr. Claus Peter",male,1981.0,2,0,350026,14.1083,G6,S
861,862,0,2,"Giles, Mr. Frederick Edward",male,2001.0,1,0,28134,11.5,G6,S
862,863,1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,1974.0,0,0,17466,25.9292,D17,S
863,864,0,3,"Sage, Miss. Dorothy Edith ""Dolly""",female,1992.3008823529412,8,2,CA. 2343,69.55,G6,S
864,865,0,2,"Gill, Mr. John William",male,1998.0,0,0,233866,13.0,G6,S
865,866,1,2,"Bystrom, Mrs. (Karolina)",female,1980.0,0,0,236852,13.0,G6,S
866,867,1,2,"Duran y More, Miss. Asuncion",female,1995.0,1,0,SC/PARIS 2149,13.8583,G6,C
867,868,0,1,"Roebling, Mr. Washington Augustus II",male,1991.0,0,0,PC 17590,50.4958,A24,S
868,869,0,3,"van Melkebeke, Mr. Philemon",male,1992.3008823529412,0,0,345777,9.5,G6,S
869,870,1,3,"Johnson, Master. Harold Theodor",male,2018.0,1,1,347742,11.1333,G6,S
870,871,0,3,"Balkic, Mr. Cerin",male,1996.0,0,0,349248,7.8958,G6,S
871,872,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,1975.0,1,1,11751,52.5542,D35,S
872,873,0,1,"Carlsson, Mr. Frans Olof",male,1989.0,0,0,695,5.0,B51 B53 B55,S
873,874,0,3,"Vander Cruyssen, Mr. Victor",male,1975.0,0,0,345765,9.0,G6,S
874,875,1,2,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,1994.0,1,0,P/PP 3381,24.0,G6,C
875,876,1,3,"Najib, Miss. Adele Kiamie ""Jane""",female,2007.0,0,0,2667,7.225,G6,C
876,877,0,3,"Gustafsson, Mr. Alfred Ossian",male,2002.0,0,0,7534,9.8458,G6,S
877,878,0,3,"Petroff, Mr. Nedelio",male,2003.0,0,0,349212,7.8958,G6,S
878,879,0,3,"Laleff, Mr. Kristo",male,1992.3008823529412,0,0,349217,7.8958,G6,S
879,880,1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,1966.0,0,1,11767,83.1583,C50,C
880,881,1,2,"Shelley, Mrs. William (Imanita Parrish Hall)",female,1997.0,0,1,230433,26.0,G6,S
881,882,0,3,"Markun, Mr. Johann",male,1989.0,0,0,349257,7.8958,G6,S
882,883,0,3,"Dahlberg, Miss. Gerda Ulrika",female,2000.0,0,0,7552,10.5167,G6,S
883,884,0,2,"Banfield, Mr. Frederick James",male,1994.0,0,0,C.A./SOTON 34068,10.5,G6,S
884,885,0,3,"Sutehall, Mr. Henry Jr",male,1997.0,0,0,SOTON/OQ 392076,7.05,G6,S
885,886,0,3,"Rice, Mrs. William (Margaret Norton)",female,1983.0,0,5,382652,29.125,G6,Q
886,887,0,2,"Montvila, Rev. Juozas",male,1995.0,0,0,211536,13.0,G6,S
887,888,1,1,"Graham, Miss. Margaret Edith",female,2003.0,0,0,112053,30.0,B42,S
888,889,0,3,"Johnston, Miss. Catherine Helen ""Carrie""",female,1992.3008823529412,1,2,W./C. 6607,23.45,G6,S
889,890,1,1,"Behr, Mr. Karl Howell",male,1996.0,0,0,111369,30.0,C148,C
890,891,0,3,"Dooley, Mr. Patrick",male,1990.0,0,0,370376,7.75,G6,Q
